campaign_of_record,canonical_job_key,protocol,registry_status,controller_status,final_disposition,note,campaigns_referencing
PX4_developed,ce185a54cbe9ffcd29aac26978eba70521695b3c3bd7050fffad412b4269d03d,D3_confirm,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,5d3f1040a83c867c616aecf5e5f15422a453799d4442f07f01b859fa0f6652a9,D3_confirm,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,3febb3ae300ffd16f6660ed1e96ea5489e80bba8793b45c1897596c77804160c,D5_confirm,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,779e5890248fff1994e9a891208571ace3f2bf1028bfa9fbe8f7033c0055f36c,D5_confirm,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,80a1e60bf48728accce86c2e1b6173901da6a9b6ec5c7e8ce150a4d01abcace5,D5_confirm,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,0b41425b21f1e551c90de2fb206c70b0f6dba9ddffe6ed770ea86be159d2f933,D5_confirm,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,b68758849f3fda0801c22ce1cc2c44f4683c1764c17328f3005d15b8ab0edb62,D5_confirm,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,8001e2596deb0a5622513fc9d5bfe03d2f22bc56720741fae82590f38445dee1,D5_confirm,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,eb5041ec66c836da76e1e196a5de7c63e2c3908252d4d4c1a562bcce75b3c525,D6_confirm,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,51fda80481269321138c0feb9ccd33d4bc2ab9c6730892bb925023ceff299fb1,D6_confirm,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,a0bfc293d98a48e8c995defba38e6a448fa60a91dda9b7b98067ffc13b306213,D6_confirm,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,c5cf55e5e6e1f4eae3e138d21494e62b2d2a906965a9cb02e900aff8bb2b33f7,D6_confirm,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,ecc22984515a0fb492c38f717a19620b1f813d711050a3582c481db01adf9134,D6_confirm,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,fb5b3e5d2344b1dc6b1b8baea59d33161dcad1ab1f7a88f420c29c45bae397d4,D6_confirm,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
